model,text_mode,seed_weight,scenario,micro_cohesion,macro_cohesion,micro_margin,macro_margin,negative_margin_fraction,loo_micro_cohesion,loo_micro_margin,loo_negative_margin_fraction,min_family_size
mxbai-embed-large,english,1.0,original_released,0.8306656477120012,0.8646217451683701,0.044551018788793445,0.08548207491519083,0.14835164835164835,0.78719349049551,0.0010788615723021434,0.4835164835164835,1
mxbai-embed-large,english,1.0,revised_released,0.824968073583258,0.8592138225599051,0.04634421533177948,0.08588560480892699,0.14285714285714285,0.7796943633955986,0.0010705051441202036,0.45054945054945056,1
mxbai-embed-large,english,1.0,revised_proposed,0.825540084975844,0.8605547268386574,0.04737636558753465,0.08872662685955264,0.12087912087912088,0.7806258600968903,0.002462140708581036,0.43956043956043955,1
mxbai-embed-large,english,1.0,revised_em,0.8252187094910655,0.8593300402742209,0.0467700051419295,0.08610893965631379,0.13736263736263737,0.779986547153899,0.0015378428047630613,0.45054945054945056,1
mxbai-embed-large,english,3.0,original_released,0.8152771384043528,0.8121161804120965,0.0342590262604856,0.039340510907336396,0.17582417582417584,0.7817213335193598,0.0007032213754927199,0.46153846153846156,1
mxbai-embed-large,english,3.0,revised_released,0.8092895353591788,0.8069445071632259,0.034966639970452074,0.03995837018123624,0.2032967032967033,0.7743799504034887,5.705501476199565e-05,0.46703296703296704,1
mxbai-embed-large,english,3.0,revised_proposed,0.8097620620835472,0.8064052258179606,0.03574799330937753,0.04031742173762307,0.19230769230769232,0.7752231484471633,0.0012090796729937066,0.46153846153846156,1
mxbai-embed-large,english,3.0,revised_em,0.8099026648772146,0.8074420508525256,0.035654791269211485,0.03987783641999961,0.1978021978021978,0.7751748028986816,0.0009269292906784856,0.45604395604395603,1
mxbai-embed-large,english,5.0,original_released,0.8026306394935533,0.784044898933062,0.026506202776749425,0.01704857156418176,0.24725274725274726,0.77423620544029,-0.0018882312765140922,0.46703296703296704,1
mxbai-embed-large,english,5.0,revised_released,0.7963521814959597,0.7786836482177554,0.026884679670320568,0.01759768595122863,0.29120879120879123,0.7668641646305157,-0.0026033371951234793,0.4945054945054945,1
mxbai-embed-large,english,5.0,revised_proposed,0.7969316154610236,0.7775537740164431,0.028091522761255136,0.01757009629578862,0.2692307692307692,0.7678035772868648,-0.0010365154129039112,0.4725274725274725,1
mxbai-embed-large,english,5.0,revised_em,0.7969703963449285,0.779126715537183,0.027872599122976252,0.0176899886690909,0.2692307692307692,0.7676547072595786,-0.0014430899623736058,0.4725274725274725,1
mxbai-embed-large,english,10.0,original_released,0.7787600713115342,0.7473153438429176,0.012428333040068374,-0.008857284253038689,0.36813186813186816,0.7573409516111441,-0.008990786660322018,0.5384615384615384,1
mxbai-embed-large,english,10.0,revised_released,0.7720127826818212,0.7415466870887873,0.012485223909510526,-0.00839590706774186,0.38461538461538464,0.7498511632897985,-0.009676395482512349,0.5164835164835165,1
mxbai-embed-large,english,10.0,revised_proposed,0.7728151046482244,0.7401308356543813,0.014011947703091488,-0.009417357382758484,0.37362637362637363,0.7509330811929341,-0.007870075752198773,0.5054945054945055,1
mxbai-embed-large,english,10.0,revised_em,0.7721291249990325,0.7415741797543244,0.01318303114850761,-0.008065568064726962,0.3791208791208791,0.7500240387136402,-0.008922055136884823,0.510989010989011,1
nomic-embed-text,bilingual,1.0,original_released,0.8807114558592387,0.9048084554400245,0.027260045844181645,0.05631619132304635,0.17582417582417584,0.8507258570806387,-0.0027255529344183274,0.5054945054945055,1
nomic-embed-text,bilingual,1.0,revised_released,0.8795431958366339,0.9036234460752981,0.02784599774358877,0.056062953671041416,0.15384615384615385,0.8491532829833525,-0.002543915109692908,0.5,1
nomic-embed-text,bilingual,1.0,revised_proposed,0.8799630331151423,0.9046533467015182,0.028933887934374583,0.057761096162656046,0.13736263736263737,0.8498296727695847,-0.001199472411183026,0.4725274725274725,1
nomic-embed-text,bilingual,1.0,revised_em,0.8798645866892648,0.9038061356041518,0.028382966315486632,0.05636467217208364,0.14285714285714285,0.8495302454359458,-0.0019513749378324632,0.5054945054945055,1
nomic-embed-text,bilingual,3.0,original_released,0.8712051675999575,0.871850123480861,0.020662275440412065,0.02736441737856263,0.2087912087912088,0.8481532341131094,-0.0023896580464359616,0.4945054945054945,1
nomic-embed-text,bilingual,3.0,revised_released,0.8698160412970551,0.8704754798873099,0.02023896287046696,0.02642079323214541,0.22527472527472528,0.8463785606904817,-0.003198517736106648,0.5164835164835165,1
nomic-embed-text,bilingual,3.0,revised_proposed,0.8701523702315874,0.8705320281214064,0.021187345124145242,0.026613498619458397,0.19230769230769232,0.8469395169485124,-0.0020255081589297553,0.489010989010989,1
nomic-embed-text,bilingual,3.0,revised_em,0.8701794829793502,0.8706669468580698,0.02094350853787484,0.026627488091551636,0.2032967032967033,0.8468113838070714,-0.0024245906344042287,0.5054945054945055,1
nomic-embed-text,bilingual,5.0,original_released,0.8634065922235856,0.8539540550934976,0.015721416022117924,0.013193259835237897,0.27472527472527475,0.8439392372338262,-0.003745938967641273,0.5164835164835165,1
nomic-embed-text,bilingual,5.0,revised_released,0.8618240542576254,0.8522764479999413,0.01512491811149627,0.011596812168809409,0.2967032967032967,0.8420216201332311,-0.004677516012898029,0.5439560439560439,1
nomic-embed-text,bilingual,5.0,revised_proposed,0.8621881805096583,0.8519539778257333,0.016029910079987813,0.011369235224148332,0.2857142857142857,0.8425939421124965,-0.003564328317173895,0.5054945054945055,1
nomic-embed-text,bilingual,5.0,revised_em,0.862174688556103,0.8524250701974015,0.015833146682901447,0.01185109974969921,0.2967032967032967,0.842438733927275,-0.0039028079459264594,0.5164835164835165,1
nomic-embed-text,bilingual,10.0,original_released,0.8486517902652752,0.8302990219511198,0.006821990081720043,-0.004203959670117058,0.3956043956043956,0.8339695140865462,-0.007860286097009105,0.5659340659340659,1
nomic-embed-text,bilingual,10.0,revised_released,0.8467674283770922,0.8281405840230608,0.005834001333411851,-0.0069134515626313705,0.45604395604395603,0.8318404232909538,-0.009093003752726527,0.554945054945055,1
nomic-embed-text,bilingual,10.0,revised_proposed,0.847249737618969,0.8275511246297721,0.006804445076565512,-0.0070944036203263285,0.4340659340659341,0.8324875150006062,-0.00795777754179753,0.5494505494505495,1
nomic-embed-text,bilingual,10.0,revised_em,0.8471303909526625,0.8282222449539809,0.006624870535384771,-0.006577417073610224,0.44505494505494503,0.832262814864013,-0.00824270555326482,0.5494505494505495,1
nomic-embed-text,english,1.0,original_released,0.8319797903906373,0.8654646615601584,0.039523391171335485,0.08147530341698501,0.1813186813186813,0.7888531978882447,-0.0036032013310571464,0.4945054945054945,1
nomic-embed-text,english,1.0,revised_released,0.8303968956961836,0.8647408497057752,0.040362401103325174,0.07977612210107905,0.14835164835164835,0.78698276866,-0.0030517259328580616,0.5164835164835165,1
nomic-embed-text,english,1.0,revised_proposed,0.8310877550478432,0.8656354767493689,0.04197264417354816,0.08288920881306623,0.12087912087912088,0.7878700573044202,-0.0012450535698745708,0.5054945054945055,1
nomic-embed-text,english,1.0,revised_em,0.830941490590211,0.8650740403804109,0.04149359804411643,0.08037490032558926,0.13736263736263737,0.7876332867732971,-0.0018146057727974117,0.510989010989011,1
nomic-embed-text,english,3.0,original_released,0.8176037788894925,0.8161077805901115,0.02965669158927932,0.0384466899047272,0.21978021978021978,0.784518729101666,-0.0034283581985473247,0.489010989010989,1
nomic-embed-text,english,3.0,revised_released,0.8159299751359642,0.8165827326137602,0.029711254180096375,0.03755291524349649,0.18681318681318682,0.7824659276980888,-0.0037527932577792688,0.5164835164835165,1
nomic-embed-text,english,3.0,revised_proposed,0.8164033084519274,0.8151393123892001,0.030973398571734763,0.03785893151675886,0.16483516483516483,0.7831982994364645,-0.002231610443728345,0.5,1
nomic-embed-text,english,3.0,revised_em,0.816457246289028,0.8168635591582768,0.03078015825506837,0.0379236660029331,0.17582417582417584,0.7831027585579998,-0.0025743294759597852,0.5,1
nomic-embed-text,english,5.0,original_released,0.805867912646221,0.789768482762199,0.02242616856431549,0.017876369739706424,0.2857142857142857,0.7779882334315217,-0.005453510650383858,0.5054945054945055,1
nomic-embed-text,english,5.0,revised_released,0.8040047186425419,0.7903814823896113,0.021729004716964637,0.016514528200192155,0.25824175824175827,0.7757652575339631,-0.0065104563916140844,0.5384615384615384,1
nomic-embed-text,english,5.0,revised_proposed,0.8045092211780729,0.7881034570780079,0.02292425797957089,0.01578981591851733,0.25274725274725274,0.776540606636686,-0.005044356561815894,0.5054945054945055,1
