model,text_mode,seed_weight,card_id,current_l3,target_l3,current_similarity,target_similarity,target_minus_current,bootstrap_target_preference
mxbai-embed-large,english,1.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7197760316656387,0.7553496606361265,0.03557362897048777,0.997
mxbai-embed-large,english,1.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.7778963757252532,0.8278298161702591,0.04993344044500592,0.956
mxbai-embed-large,english,1.0,PHYSRISK-REF-0033,I3.6,S3.6,0.6781566400237128,0.7200078830609433,0.041851243037230534,0.956
mxbai-embed-large,english,1.0,PHYSRISK-REF-0037,P3.3,S3.9,0.7043133133537087,0.5810188133009295,-0.1232945000527792,0.0
mxbai-embed-large,english,1.0,PHYSRISK-REF-0055,S3.9,S3.6,0.503905056926554,0.7658739211530605,0.26196886422650656,1.0
mxbai-embed-large,english,3.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7155499770674161,0.7546393706401908,0.039089393572774744,0.998
mxbai-embed-large,english,3.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.760642561314987,0.8036030382517623,0.042960476936775294,0.936
mxbai-embed-large,english,3.0,PHYSRISK-REF-0033,I3.6,S3.6,0.6837629607804452,0.7174532924403914,0.03369033165994617,0.942
mxbai-embed-large,english,3.0,PHYSRISK-REF-0037,P3.3,S3.9,0.7011373764133599,0.5382573352920562,-0.16288004112130372,0.0
mxbai-embed-large,english,3.0,PHYSRISK-REF-0055,S3.9,S3.6,0.503905056926554,0.7568616523911277,0.2529565954645737,1.0
mxbai-embed-large,english,5.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7087201951894956,0.7535637264869727,0.04484353129747709,0.999
mxbai-embed-large,english,5.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.7427163502344702,0.7778867793903318,0.03517042915586155,0.897
mxbai-embed-large,english,5.0,PHYSRISK-REF-0033,I3.6,S3.6,0.6825844110167478,0.7091466701541375,0.026562259137389632,0.934
mxbai-embed-large,english,5.0,PHYSRISK-REF-0037,P3.3,S3.9,0.688744620493561,0.5164463077276132,-0.17229831276594776,0.0
mxbai-embed-large,english,5.0,PHYSRISK-REF-0055,S3.9,S3.6,0.503905056926554,0.743245983248169,0.23934092632161508,1.0
mxbai-embed-large,english,10.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.6908878569807126,0.749865295850965,0.05897743887025231,1.0
mxbai-embed-large,english,10.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.7059308169592587,0.7219149926330422,0.015984175673783407,0.777
mxbai-embed-large,english,10.0,PHYSRISK-REF-0033,I3.6,S3.6,0.6719928811312805,0.6832757375947751,0.011282856463494584,0.802
mxbai-embed-large,english,10.0,PHYSRISK-REF-0037,P3.3,S3.9,0.6704452250602424,0.494741653614178,-0.1757035714460644,0.0
mxbai-embed-large,english,10.0,PHYSRISK-REF-0055,S3.9,S3.6,0.503905056926554,0.7079722876085819,0.20406723068202792,1.0
nomic-embed-text,bilingual,1.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.8429827656582785,0.8641178697476535,0.021135104089375023,0.99
nomic-embed-text,bilingual,1.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.8157096382938943,0.8792405652846846,0.06353092699079033,0.998
nomic-embed-text,bilingual,1.0,PHYSRISK-REF-0033,I3.6,S3.6,0.8123631550135265,0.8222893337630117,0.009926178749485204,0.709
nomic-embed-text,bilingual,1.0,PHYSRISK-REF-0037,P3.3,S3.9,0.8069443465687948,0.7563395154499786,-0.050604831118816196,0.0
nomic-embed-text,bilingual,1.0,PHYSRISK-REF-0055,S3.9,S3.6,0.6816277111620764,0.8302451525917465,0.14861744142967004,1.0
nomic-embed-text,bilingual,3.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.840914737300148,0.8636521236748271,0.022737386374679147,0.997
nomic-embed-text,bilingual,3.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.8072340135835098,0.8668788883059699,0.05964487472246016,0.999
nomic-embed-text,bilingual,3.0,PHYSRISK-REF-0033,I3.6,S3.6,0.8170334323455585,0.8223252888469413,0.005291856501382863,0.645
nomic-embed-text,bilingual,3.0,PHYSRISK-REF-0037,P3.3,S3.9,0.8084969693348164,0.730710892733565,-0.07778607660125136,0.0
nomic-embed-text,bilingual,3.0,PHYSRISK-REF-0055,S3.9,S3.6,0.6816277111620764,0.8230798953317092,0.1414521841696328,1.0
nomic-embed-text,bilingual,5.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.8367817961253623,0.862929997939087,0.02614820181372468,0.998
nomic-embed-text,bilingual,5.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.796960360693939,0.8542998950657148,0.05733953437177575,0.998
nomic-embed-text,bilingual,5.0,PHYSRISK-REF-0033,I3.6,S3.6,0.8160504830387028,0.8193238975002077,0.0032734144615049754,0.605
nomic-embed-text,bilingual,5.0,PHYSRISK-REF-0037,P3.3,S3.9,0.8012600837035581,0.7154651583415093,-0.0857949253620488,0.0
nomic-embed-text,bilingual,5.0,PHYSRISK-REF-0055,S3.9,S3.6,0.6816277111620764,0.814607852724643,0.13298014156256655,1.0
nomic-embed-text,bilingual,10.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.825035977931579,0.86040064650473,0.035364668573151015,1.0
nomic-embed-text,bilingual,10.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.7737189165729427,0.8272512009540749,0.05353228438113222,1.0
nomic-embed-text,bilingual,10.0,PHYSRISK-REF-0033,I3.6,S3.6,0.8069480154509057,0.8085089514374862,0.0015609359865805805,0.588
nomic-embed-text,bilingual,10.0,PHYSRISK-REF-0037,P3.3,S3.9,0.789411843286733,0.6993748586287509,-0.09003698465798204,0.0
nomic-embed-text,bilingual,10.0,PHYSRISK-REF-0055,S3.9,S3.6,0.6816277111620764,0.794695287174988,0.11306757601291162,1.0
nomic-embed-text,english,1.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7706034961104646,0.8065272742186679,0.03592377810820324,0.998
nomic-embed-text,english,1.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.7353586797694198,0.8237285887605595,0.08836990899113972,0.991
nomic-embed-text,english,1.0,PHYSRISK-REF-0033,I3.6,S3.6,0.73188414999608,0.7462927700685342,0.014408620072454248,0.726
nomic-embed-text,english,1.0,PHYSRISK-REF-0037,P3.3,S3.9,0.7229817873151185,0.6411092068123438,-0.08187258050277468,0.0
nomic-embed-text,english,1.0,PHYSRISK-REF-0055,S3.9,S3.6,0.6059267508770734,0.7912181509005491,0.18529140002347577,1.0
nomic-embed-text,english,3.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7653069115807908,0.8057319353800736,0.04042502379928281,0.999
nomic-embed-text,english,3.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.7173471872131841,0.8045600444289591,0.08721285721577499,0.998
nomic-embed-text,english,3.0,PHYSRISK-REF-0033,I3.6,S3.6,0.7401364696705444,0.7455492250235041,0.005412755352959708,0.616
nomic-embed-text,english,3.0,PHYSRISK-REF-0037,P3.3,S3.9,0.7250871355415405,0.6063487109220442,-0.11873842461949624,0.0
nomic-embed-text,english,3.0,PHYSRISK-REF-0055,S3.9,S3.6,0.6059267508770732,0.7813995727341807,0.17547282185710755,1.0
nomic-embed-text,english,5.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7576571702861064,0.8045353142897319,0.046878144003625555,1.0
nomic-embed-text,english,5.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.6983092717670204,0.7847648649508912,0.08645559318387075,1.0
nomic-embed-text,english,5.0,PHYSRISK-REF-0033,I3.6,S3.6,0.7395312615163148,0.7401558301216057,0.0006245686052909205,0.505
nomic-embed-text,english,5.0,PHYSRISK-REF-0037,P3.3,S3.9,0.7147433057971859,0.587958998712403,-0.12678430708478294,0.0
nomic-embed-text,english,5.0,PHYSRISK-REF-0055,S3.9,S3.6,0.6059267508770732,0.768868799361032,0.16294204848395888,1.0
nomic-embed-text,english,10.0,PHYSBENCH-REF-0065,I3.7,P3.2,0.7383211496804585,0.8004293412754284,0.06210819159496994,1.0
nomic-embed-text,english,10.0,PHYSBENCH-REF-0107,I3.6,S3.6,0.6587753234907147,0.742279849031511,0.08350452554079635,1.0
nomic-embed-text,english,10.0,PHYSRISK-REF-0033,I3.6,S3.6,0.7274198028615132,0.7220886394328077,-0.005331163428705543,0.379
nomic-embed-text,english,10.0,PHYSRISK-REF-0037,P3.3,S3.9,0.6983631295164815,0.569233388388177,-0.12912974112830444,0.0
nomic-embed-text,english,10.0,PHYSRISK-REF-0055,S3.9,S3.6,0.6059267508770732,0.7386189153875263,0.13269216451045318,1.0
